iter	MAE
0	0.6797137239
1	0.6533948219
2	0.6280958869
3	0.6036755565
4	0.5835460538
5	0.5620943942
6	0.5417800961
7	0.5257117037
8	0.5092382727
9	0.4925458185
10	0.4747875032
11	0.4585096972
12	0.4444055963
13	0.4298459936
14	0.4170901818
15	0.4046211993
16	0.3924509814
17	0.379398956
18	0.3688330754
19	0.3575494053
20	0.3479320753
21	0.3391751573
22	0.3299088753
23	0.321785588
24	0.313441249
25	0.3056111733
26	0.2992349392
27	0.292204473
28	0.2851310777
29	0.2795748272
30	0.274690285
31	0.2683562226
32	0.261582106
33	0.256888444
34	0.2517291891
35	0.2473816158
36	0.2423430615
37	0.2391175823
38	0.2353062246
39	0.2305567957
40	0.2271959749
41	0.2226079639
42	0.2191109282
43	0.2160382477
44	0.2128375515
45	0.210580093
46	0.2083846753
47	0.2058926098
48	0.2035102836
49	0.2011641716
50	0.1988416176
51	0.1968281858
52	0.1946111781
53	0.1925932217
54	0.1908081087
55	0.1887785937
56	0.1872679696
57	0.1853174696
58	0.1834193097
59	0.1818459029
60	0.1806400587
61	0.1789686316
62	0.1773941429
63	0.1760528657
64	0.1748003835
65	0.1738664534
66	0.1731063249
67	0.1716924805
68	0.1702331709
69	0.1690915237
70	0.1674439397
71	0.1664242521
72	0.1655163358
73	0.1646465558
74	0.1635063999
75	0.1623257674
76	0.1614424014
77	0.1608996505
78	0.1599555822
79	0.1589307901
80	0.1580650163
81	0.1572770108
82	0.1564441229
83	0.1556046007
84	0.1548235903
85	0.1541082171
86	0.1534586278
87	0.1529134718
88	0.1522170236
89	0.1515275429
90	0.1507767653
91	0.1501455126
92	0.1494791216
93	0.1490620639
94	0.1484314554
95	0.1479093173
96	0.147378794
97	0.1467266655
98	0.1460634905
99	0.1454975253
100	0.1447860468
101	0.1438469612
102	0.1433284436
103	0.1428525201
104	0.142221473
105	0.141677158
106	0.1410625799
107	0.1406850822
108	0.1403143637
109	0.1398404431
110	0.1394044124
111	0.138679451
112	0.1378649429
113	0.1373602889
114	0.1368568906
115	0.1363348233
116	0.1357557344
117	0.1353575983
118	0.1347312125
119	0.1343806077
120	0.1340852515
121	0.1336045622
122	0.1332118712
123	0.1325175551
124	0.131962258
125	0.1315855676
126	0.1312397925
127	0.1308747379
128	0.1305110689
129	0.1301787143
130	0.1296532148
131	0.1292292201
132	0.1287577931
133	0.1284504509
134	0.128056271
135	0.1274466174
136	0.1271422221
137	0.1269049541
138	0.1267616746
139	0.1264122087
140	0.1260987773
141	0.1260286228
142	0.1257117182
143	0.1253337428
144	0.1252157054
145	0.1250685796
146	0.1249975648
147	0.1248260221
148	0.1245175859
149	0.1243673122
150	0.1239792046
151	0.123668263
152	0.1232739567
153	0.1231213359
154	0.122665189
155	0.1222594591
156	0.1219452349
157	0.1216132462
158	0.1213645918
159	0.1211163348
160	0.120818013
161	0.1205633088
162	0.1204345302
163	0.1201301655
164	0.1199168692
165	0.1194073257
166	0.1190562496
167	0.1188651817
168	0.1187080044
169	0.1182393972
170	0.1179598508
171	0.1175739953
172	0.1171779589
173	0.1170384315
174	0.1168809595
175	0.1166807011
176	0.1162172792
177	0.1159432424
178	0.1156537283
179	0.1154611724
180	0.1153180831
181	0.1150035948
182	0.1147441127
183	0.1145730561
184	0.1143597385
185	0.1142551502
186	0.1139364376
187	0.1136661136
188	0.1132521986
189	0.1128829645
190	0.1126200135
191	0.1122026343
192	0.1121021348
193	0.1118666633
194	0.1114464831
195	0.1112263071
196	0.110916518
197	0.1105269228
198	0.1102865408
199	0.1102275488
200	0.1101775906
201	0.1101136983
202	0.110059397
203	0.1097504764
204	0.1095604533
205	0.1094042987
206	0.1091713105
207	0.1090509774
208	0.1088555445
209	0.1086995123
210	0.1081235122
211	0.1079077144
212	0.1075587585
213	0.1074176311
214	0.1072493756
215	0.1069435541
216	0.1067164214
217	0.1065537959
218	0.1063549553
219	0.1061020435
220	0.1059608676
221	0.1056976789
222	0.1055621392
223	0.1053677446
224	0.1050475058
225	0.1045333945
226	0.1043200634
227	0.1040445138
228	0.1038333754
229	0.1033832453
230	0.1032190648
231	0.1030389735
232	0.1028084137
233	0.102605115
234	0.1022274174
235	0.102041032
236	0.1017539153
237	0.1014892328
238	0.1012621905
239	0.1011471162
240	0.1009332659
241	0.1008187618
242	0.1007024366
243	0.1005828823
244	0.100497281
245	0.1004599747
246	0.100295355
247	0.1001682495
248	0.1000667953
249	0.09981033741
250	0.0996236384
251	0.09939124075
252	0.09929028408
253	0.09923635443
254	0.09918382966
255	0.09900824421
256	0.0988690543
257	0.09874637171
258	0.09868289096
259	0.098526173
260	0.09820981069
261	0.09813859598
262	0.09777889109
263	0.09759359686
264	0.09728395348
265	0.09715966991
266	0.09707062813
267	0.0969359433
268	0.096806556
269	0.09669078179
270	0.09649176505
271	0.09636647191
272	0.09625271663
273	0.0961394633
274	0.09598200921
275	0.0959126994
276	0.09582170169
277	0.09566277442
278	0.09559901997
279	0.09543597285
280	0.09529690859
281	0.09499820843
282	0.0948705815
283	0.09471823533
284	0.09449357433
285	0.09427909411
286	0.09412451585
287	0.09404025841
288	0.09395606581
289	0.09388848033
290	0.09372438841
291	0.09358530815
292	0.09346867545
293	0.09321400074
294	0.09310014678
295	0.09302569849
296	0.09298551354
297	0.09289829318
298	0.09286019063
299	0.09282790164
300	0.09271679163
301	0.09266984033
302	0.09251194452
303	0.09227082506
304	0.09222872547
305	0.0921914619
306	0.09205970887
307	0.09191698745
308	0.09175314072
309	0.09166882384
310	0.09156756771
311	0.09150808507
312	0.09144720962
313	0.09142807583
314	0.09116007156
315	0.09109659962
316	0.0909472094
317	0.09061391811
318	0.09052586142
319	0.09029932555
320	0.08999697407
321	0.08974226818
322	0.08958862884
323	0.08947779172
