iter	Passed	Remaining
428	1643	36664
429	1647	36665
430	1650	36643
431	1656	36685
432	1660	36689
433	1664	36678
434	1668	36690
435	1672	36693
436	1675	36668
437	1678	36641
438	1681	36629
439	1685	36619
440	1688	36592
441	1691	36570
442	1694	36550
443	1697	36532
444	1700	36514
445	1703	36487
446	1706	36459
447	1709	36454
448	1712	36435
449	1715	36413
450	1718	36388
451	1722	36377
452	1725	36357
453	1728	36336
454	1730	36311
455	1734	36296
456	1737	36281
457	1740	36260
458	1743	36243
459	1746	36220
460	1749	36209
461	1753	36192
462	1756	36186
463	1760	36176
464	1765	36203
465	1769	36201
466	1772	36187
467	1779	36237
468	1782	36226
469	1786	36215
470	1788	36190
471	1792	36184
472	1795	36162
473	1798	36137
474	1801	36126
475	1805	36127
476	1809	36120
477	1812	36105
478	1815	36088
479	1823	36165
480	1826	36149
481	1831	36161
482	1834	36155
483	1838	36154
484	1842	36138
485	1845	36136
486	1849	36136
487	1854	36150
488	1859	36165
489	1865	36202
490	1870	36219
491	1876	36261
492	1880	36258
493	1883	36245
494	1889	36274
495	1892	36264
496	1895	36249
497	1900	36259
498	1903	36248
499	1907	36243
500	1910	36227
501	1915	36247
502	1919	36237
503	1922	36221
504	1926	36217
505	1929	36206
506	1933	36201
507	1936	36185
508	1941	36196
509	1944	36176
510	1947	36161
511	1950	36148
512	1954	36150
513	1961	36202
514	1964	36186
515	1968	36186
516	1973	36194
517	1980	36245
518	1984	36259
519	1988	36259
520	1992	36259
521	1995	36238
522	1998	36213
523	2001	36190
524	2004	36173
525	2008	36166
526	2010	36148
527	2013	36125
528	2017	36118
529	2022	36131
530	2024	36110
531	2027	36088
532	2030	36071
533	2034	36066
534	2038	36062
535	2041	36040
536	2044	36020
537	2048	36029
538	2051	36007
539	2054	35989
540	2057	35974
541	2063	36000
542	2066	35984
543	2069	35976
544	2072	35960
545	2077	35964
546	2080	35946
547	2082	35924
548	2085	35901
549	2090	35917
550	2094	35912
551	2097	35894
552	2100	35885
553	2105	35897
554	2108	35878
555	2111	35858
556	2114	35847
557	2117	35833
558	2120	35811
559	2123	35795
560	2126	35778
561	2130	35775
562	2134	35775
563	2139	35789
564	2144	35804
565	2147	35801
566	2151	35796
567	2156	35814
568	2162	35850
569	2166	35847
570	2169	35833
571	2172	35811
572	2176	35809
573	2179	35788
574	2182	35774
575	2186	35776
576	2193	35817
577	2197	35819
578	2201	35813
579	2205	35817
580	2210	35832
581	2213	35814
582	2216	35795
583	2219	35778
584	2222	35773
585	2225	35754
586	2228	35738
587	2231	35716
588	2235	35710
589	2238	35701
590	2241	35681
591	2244	35663
592	2247	35646
593	2251	35654
594	2255	35647
595	2258	35635
596	2265	35675
597	2268	35660
598	2271	35654
599	2275	35643
600	2278	35632
601	2281	35617
602	2284	35597
603	2287	35578
604	2290	35571
605	2293	35557
606	2297	35557
607	2301	35554
608	2305	35552
609	2308	35538
610	2312	35530
611	2316	35528
612	2319	35514
613	2322	35501
614	2325	35482
615	2328	35470
616	2331	35454
617	2334	35440
618	2337	35420
619	2340	35402
620	2344	35404
621	2347	35388
622	2350	35376
623	2353	35365
624	2358	35372
625	2360	35352
626	2365	35355
627	2368	35346
628	2373	35357
629	2377	35354
630	2380	35342
631	2386	35369
632	2389	35358
633	2393	35359
634	2397	35364
635	2401	35359
636	2404	35346
637	2408	35339
638	2412	35336
639	2415	35320
640	2417	35303
641	2421	35289
642	2424	35282
643	2427	35265
644	2430	35249
645	2433	35232
646	2436	35223
647	2439	35214
648	2442	35194
649	2445	35181
650	2448	35163
651	2451	35154
652	2454	35139
653	2457	35122
654	2465	35169
655	2474	35248
656	2479	35257
657	2482	35239
658	2484	35221
659	2487	35207
660	2491	35202
661	2495	35198
662	2498	35180
663	2500	35163
664	2503	35147
665	2507	35149
666	2510	35131
667	2513	35118
668	2516	35102
669	2519	35090
670	2523	35078
671	2525	35061
672	2528	35044
673	2534	35066
674	2538	35066
675	2541	35052
676	2544	35042
677	2548	35037
678	2551	35029
679	2554	35011
680	2562	35066
681	2572	35149
682	2579	35183
683	2588	35253
684	2593	35264
685	2597	35267
686	2601	35264
687	2604	35248
688	2607	35230
689	2609	35213
690	2614	35215
691	2616	35198
692	2619	35184
693	2622	35169
694	2629	35210
695	2633	35209
696	2637	35201
697	2642	35209
698	2644	35192
699	2647	35178
700	2650	35162
701	2653	35146
702	2657	35151
703	2661	35139
704	2664	35134
705	2669	35148
706	2672	35134
707	2675	35117
708	2678	35102
709	2682	35096
710	2685	35088
711	2688	35072
712	2691	35060
713	2694	35047
714	2697	35030
715	2700	35020
716	2703	35005
717	2708	35009
718	2710	34993
719	2713	34977
720	2716	34963
721	2719	34949
722	2722	34935
723	2725	34920
724	2728	34905
725	2731	34890
726	2735	34887
727	2737	34869
728	2740	34853
729	2744	34850
730	2748	34847
731	2751	34832
732	2753	34816
733	2756	34800
734	2759	34789
735	2763	34780
736	2766	34770
737	2771	34784
738	2775	34787
739	2779	34781
740	2782	34768
741	2785	34752
742	2791	34784
743	2795	34773
744	2798	34764
745	2802	34769
746	2806	34765
747	2809	34748
748	2812	34738
749	2816	34735
750	2819	34720
751	2822	34707
752	2824	34691
753	2829	34697
754	2832	34686
755	2835	34671
756	2838	34656
757	2841	34647
758	2844	34632
759	2847	34617
760	2850	34603
761	2853	34589
762	2856	34578
763	2859	34564
764	2861	34548
765	2864	34535
766	2868	34534
767	2872	34525
768	2875	34514
769	2879	34518
770	2884	34530
771	2889	34536
772	2894	34547
773	2897	34535
774	2900	34521
775	2902	34505
776	2907	34511
777	2910	34496
778	2912	34480
779	2915	34464
780	2919	34463
781	2922	34451
782	2925	34442
783	2929	34431
784	2932	34420
785	2935	34414
786	2938	34403
787	2941	34388
788	2944	34374
789	2948	34375
790	2952	34372
791	2955	34360
792	2958	34354
793	2962	34351
794	2967	34358
795	2970	34348
796	2975	34356
797	2978	34347
798	2981	34332
799	2984	34317
800	2988	34319
801	2991	34304
802	2993	34290
803	2997	34280
804	3000	34270
805	3005	34280
806	3008	34271
807	3011	34261
808	3016	34270
809	3020	34271
810	3023	34258
811	3027	34256
812	3030	34242
813	3033	34234
814	3036	34218
815	3039	34206
816	3042	34197
817	3045	34181
818	3048	34173
819	3051	34160
820	3054	34149
821	3057	34137
822	3060	34123
823	3063	34112
824	3066	34104
825	3069	34092
826	3072	34077
827	3075	34072
828	3079	34064
829	3082	34054
830	3086	34052
831	3089	34038
832	3091	34026
833	3095	34015
834	3097	34001
835	3100	33990
836	3103	33977
837	3108	33982
838	3110	33968
839	3114	33967
840	3118	33960
841	3123	33970
842	3127	33969
843	3130	33955
844	3133	33949
845	3136	33938
846	3139	33926
847	3143	33920
848	3146	33918
849	3150	33910
850	3153	33898
851	3155	33884
852	3159	33875
853	3162	33867
854	3166	33863
855	3169	33860
856	3174	33868
857	3180	33884
858	3184	33884
859	3188	33891
860	3192	33887
861	3196	33883
862	3199	33872
863	3203	33874
864	3207	33869
865	3210	33859
866	3214	33858
867	3217	33848
868	3221	33847
869	3224	33841
870	3228	33836
871	3231	33832
872	3236	33833
873	3240	33832
874	3243	33825
875	3246	33817
876	3250	33810
877	3254	33807
878	3257	33806
879	3261	33796
880	3264	33788
881	3268	33790
882	3272	33787
883	3276	33783
884	3283	33822
885	3287	33819
886	3291	33819
887	3297	33832
888	3300	33822
889	3303	33810
890	3305	33796
891	3310	33807
892	3313	33793
893	3316	33781
894	3319	33770
895	3322	33757
896	3325	33749
897	3328	33736
898	3331	33723
899	3334	33715
900	3337	33703
901	3340	33690
902	3343	33678
903	3346	33673
904	3349	33660
905	3352	33651
906	3355	33638
907	3358	33626
908	3361	33618
909	3364	33605
910	3367	33594
911	3371	33594
912	3374	33590
913	3379	33594
914	3382	33585
915	3385	33572
916	3389	33577
917	3392	33564
918	3395	33555
919	3398	33544
920	3402	33536
921	3405	33526
922	3407	33513
923	3410	33500
924	3415	33505
925	3417	33492
926	3420	33479
927	3423	33470
928	3427	33466
929	3430	33457
930	3433	33445
931	3436	33433
932	3439	33421
933	3443	33429
934	3446	33418
935	3450	33411
936	3453	33406
937	3459	33426
938	3462	33415
939	3466	33408
940	3469	33404
941	3473	33398
942	3476	33388
943	3480	33388
